TenureGroup,无投诉用户数,有投诉用户数,无投诉流失率,有投诉流失率
0-6个月,1177,465,0.16057774001699235,0.5075268817204301
13-24个月,1053,414,0.04083570750237417,0.12560386473429952
24个月以上,304,125,0.0,0.0
7-12个月,1178,406,0.0636672325976231,0.19950738916256158
新用户,314,194,0.42356687898089174,0.7164948453608248
